@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class	{text, code}

@DATA
7.272727273,0,0.026315789,0.013157895,0.003952569,0.005928854,76,0.486842105,text
3.727272727,0,0.189189189,0.324324324,0.091935484,0.016129032,37,0,code
3,0,0,0,0,0.006896552,19,0.421052632,text
0,0,0.25,0.75,0.321428571,0.035714286,4,0,code
20.75806452,0,0.035885167,0.076555024,0.006783292,0.001428061,418,0.488038278,text
1.166666667,0,0.162790698,0.139534884,0.108247423,0.018041237,43,0,code
9.481481481,0,0.02173913,0.02173913,0,0.008116883,92,0.456521739,text
0.923076923,5,0.230769231,0.333333333,0.088235294,0.018716578,39,0.076923077,code
9.662650602,0,0.076404494,0.049438202,0.002853067,0.002496434,445,0.485393258,text
10.895470383275262,0.0,0.027777777777777776,0.04365079365079365,0.0012281240405280934,0.0010746085354620817,504.0,0.36706349206349204,text
6.4,2.0,0.19047619047619047,0.2857142857142857,0.07482993197278912,0.0,21.0,0.09523809523809523,code
4.337142857142857,1.0,0.0412262156448203,0.07188160676532769,0.008087091757387248,0.004510108864696734,946.0,0.39957716701902746,text
0.050909091,0,0.047113,0.042862203,8.51E-04,0.005444646,2823,0.418349274,text
0,0,0.571428571,0,0,0.023529412,14,0,text
0,0,0.060301508,0.070351759,0.001776199,0.012433393,199,0.462311558,text
3.2,0,0.388888889,0,0.045045045,0.126126126,18,0,text
1.230769231,0,0.090909091,0.045454545,0,0.013297872,66,0.46969697,text
0,0,0.333333333,0,0,0.157894737,6,0,text
8,0,0.285714286,0,0,0.023809524,7,0.428571429,text
0,0,1,0,0,0.034482759,3,0,text
3.625,0,0.081081081,0.027027027,0,0.00591716,111,0.387387387,text
0,0,0.166666667,0,0,0.03125,6,0,text
8,0,0.285714286,0,0,0.023809524,7,0.428571429,text
0,0,0.75,0,0,0,4,0,text
0.432432432,0,0.054054054,0.027027027,0,0.005355777,222,0.445945946,text
1.111111111,0,0.230769231,0.307692308,0.090163934,0.008196721,13,0,code
0.066666667,0,0.032608696,0.032608696,0,0.001798561,92,0.5,text
0,0,0.2,0,0.060606061,0,5,0,code
0.076923077,0,0.034682081,0.063583815,0,0.00748363,173,0.456647399,text
0,0,0.5,0.5,0,0,2,0,code
0,0,0.007751938,0.085271318,0.001358696,6.79E-04,258,0.507751938,text
0,0,0.333333333,0,0,0,3,0,text
0.125,0,0.046511628,0.139534884,0.012096774,0.004032258,43,0.441860465,text
0,0,0.333333333,0,0,0,3,0,text
0.053571429,1,0.016786571,0.040767386,0.003167063,0.001583531,417,0.513189448,text
2.4,2,0.107142857,0.178571429,0.049773756,0,28,0.178571429,code
0,0,0.041666667,0.041666667,0,0.006369427,24,0.458333333,text
3.285714286,3,0.071428571,0.119047619,0.045180723,0.003012048,42,0.30952381,code
0,0,0,0.033898305,0.005847953,0,59,0.542372881,text
0,0,0.333333333,0,0,0,3,0,text
1,0,0,0,0,0,4,0.5,text
0,0,0,0,0,0,3,0,text
0.5,0,0,0,0,0,1,0,text
0,0,0,0,0,0,3,0,text
1,0,0,0,0,0,3,0.333333333,text
0,0,0.333333333,0,0,0,3,0,text
0.058823529,0,0.018072289,0.042168675,0.004282655,0.002141328,166,0.5,text
2.545454545,2,0.111111111,0.185185185,0.072727273,0,27,0.148148148,code
0.035714286,0,0.026,0.046,0.004702721,0.00235136,500,0.508,text
0,0,0.5,0,0,0,2,0,text
0,0,0.03125,0.0625,0.00990099,0.004950495,32,0.40625,text
3.230769231,2,0.133333333,0.2,0.076628352,0.003831418,30,0.133333333,code
0,0,0.027027027,0.081081081,0,0,37,0.540540541,text
0,0,0.5,0,0.148148148,0,4,0,code
0.5,0,0,0,0,0,5,0.4,text
0,0,0.333333333,0.333333333,0.166666667,0.041666667,3,0,code
0,0,0,0,0,0,5,0.4,text
0,0,0.5,0,0.148148148,0,4,0,code
0,0,0.016528926,0.063360882,0,0.007536505,363,0.506887052,text
0,0,0,0,0,0,3,0,text
0.5,0,0,0,0,0,2,1,text
0,0,0.333333333,0,0,0,3,0,text
0,0,0,0.0625,0,0,32,0.59375,text
0,0,0.333333333,0,0.130434783,0,3,0,code
0.166666667,0,0,0.057142857,0,0.005882353,35,0.571428571,text
3.875,2,0.153846154,0.179487179,0.077363897,0.005730659,39,0.179487179,code
0,0,0,0.129032258,0,0,31,0.516129032,text
0,0,0.5,0,0,0,2,0,text
0.5,0,0,0.083333333,0,0,12,0.583333333,text
0,0,0.5,0,0,0,2,0,text
0.142857143,0,0,0.096774194,0,0.005464481,31,0.516129032,text
3.875,2,0.135135135,0.189189189,0.075301205,0.003012048,37,0.189189189,code
0,0,0.050847458,0.050847458,0,0,59,0.474576271,text
0,0,0,1,0,0,2,0,code
0.166666667,0,0,0.064516129,0,0.005524862,31,0.483870968,text
6.270833333,2,0.154929577,0.105633803,0.101906158,0.004398827,142,0.070422535,code
0,0,0.011627907,0.046511628,0.003795066,0.001897533,86,0.406976744,text
0,0,0,0,0,0.05,4,0.75,text
0,0,0,0.181818182,0,0,11,0.545454545,text
0.666666667,0,0.333333333,0.083333333,0.118181818,0.072727273,12,0.25,code
0,0,0,0.046296296,0,0.001589825,108,0.527777778,text
0,0,0,1,0,0,2,0,code
0,0,0,0.031746032,0,0.005208333,63,0.46031746,text
1,0,0,0.142857143,0.024691358,0,14,0.5,text
0,0,0,0.098360656,0.012539185,0.003134796,61,0.557377049,text
0,0,0,1,0,0,2,0,text
0.1,0,0,0.084210526,0,0,95,0.473684211,text
0,0,0.5,0,0,0,2,0,text
0,0,0,0.166666667,0,0.014285714,12,0.583333333,text
3.882352941,2,0.093023256,0.162790698,0.081690141,0.011267606,43,0.093023256,code
0.038461538,0,0.006535948,0.065359477,0.001140251,0,153,0.464052288,text
0,0,0.5,0,0,0,2,0,text
0,0,0,0.04,0.00729927,0,50,0.6,text
0,0,0,0,0,0.4,2,0,code
0,0,0,0.115384615,0,0,26,0.615384615,text
0,0,0.5,0,0,0,2,0,text
0,0,0,0,0.043478261,0,3,0.333333333,text
0,0,0.5,0,0,0,2,0,text
0.142857143,0,0,0.04,0.006666667,0.013333333,25,0.52,text
0,0,0,0,0,0.4,2,0,code
0.016393443,0,0.004524887,0.061085973,7.34E-04,0.006236244,442,0.459276018,text
0.842105263,0,0.222222222,0.296296296,0.086956522,0.003952569,27,0,code
0,0,0.024324324,0.062162162,0.001342282,0,370,0.521621622,text
1.666666667,8,0.154929577,0.126760563,0.050736498,0.016366612,71,0.112676056,code
0,0,0,0.051724138,0,0.001342282,116,0.5,text
0,0,0.5,0,0.133333333,0.066666667,2,0,code
0.1,0,0.016666667,0.066666667,0.006024096,0,60,0.55,text
0,0,0.5,0,0.107142857,0.107142857,2,0,code
0.076923077,0,0.022988506,0.034482759,0.001642036,0.004926108,87,0.413793103,text
0,0,0.25,0,0.090909091,0,4,0,code
0.5,0,0,0,0,0,6,0.5,text
0,0,0,0,0.090909091,0,3,0,code
0.5,0,0,0.090909091,0,0,11,0.454545455,text
0,0,0.25,0,0.107142857,0,4,0,code
0,0,0.014354067,0.038277512,0.003012048,0,209,0.421052632,text
2.68,8,0.150684932,0.123287671,0.046130952,0.014880952,73,0.123287671,code
0.151515152,0,0.012307692,0.036923077,0,5.24E-04,325,0.547692308,text
0,0,0.333333333,0.333333333,0.05,0,3,0,code
0.1,0,0.036585366,0.097560976,0,0.00477327,82,0.56097561,text
1.090909091,2,0.294117647,0.294117647,0.060240964,0.006024096,17,0.117647059,code
0,0,0,0.053571429,0,0.003164557,56,0.517857143,text
1.714285714,2,0.4,0.24,0.06097561,0.008130081,25,0.08,code
0,0,0.028169014,0.042253521,0,0,71,0.464788732,text
2.19047619,6,0.172413793,0.137931034,0.047801147,0.022944551,58,0.103448276,code
0,0,0,0.142857143,0,0,35,0.457142857,text
2,0,0,0.25,0.1,0,4,0,code
0,0,0.025,0.066666667,0,0.001564945,120,0.55,text
1.733333333,1,0.148148148,0.222222222,0.09375,0.022321429,27,0.148148148,code
0,0,0,0.042944785,0,0.001179245,163,0.668711656,text
0,0,0.2,0,0.096774194,0.032258065,5,0.4,code
0,0,0,0.173913043,0,0.013071895,23,0.391304348,text
1.733333333,1,0.148148148,0.222222222,0.090909091,0.017316017,27,0.148148148,code
0,0,0,0.074712644,9.36E-04,9.36E-04,174,0.488505747,text
1.714285714,1,0.153846154,0.230769231,0.098130841,0.018691589,26,0.153846154,code
0,0,0,0,0,0,0,0,code
1.857142857,1,0.153846154,0.230769231,0.094170404,0.013452915,26,0.153846154,code
0,0,0,0.125,0,0.02,8,0.375,text
0,0,0,0,0,0.2,2,0,code
0,0,0,0.125,0,0,8,0.375,text
0,0,0,0,0,0.111111111,2,0,code
0,0,0.013513514,0.027027027,0,0.006864989,74,0.594594595,text
0,0,0,0,0,0.181818182,2,0,code
0.142857143,0,0,0.138888889,0,0.013333333,36,0.5,text
2.083333333,1,0.153846154,0.230769231,0.092920354,0.017699115,26,0.115384615,code
0,0,0,0.041666667,0,0.01459854,24,0.625,text
2.166666667,0,0.173913043,0.260869565,0.100478469,0.019138756,23,0.086956522,code
0.041666667,0,0.002710027,0.035230352,0,0.00194742,369,0.558265583,text
2.526315789,0,0.133333333,0.2,0.094339623,0.030188679,30,0.066666667,code
0,0,0.058823529,0,0.019607843,0.009803922,17,0.529411765,text
2.526315789,0,0.133333333,0.2,0.094339623,0.030188679,30,0.066666667,code
0,0,0,0.083333333,0,0,36,0.555555556,text
2,0,0.129032258,0.225806452,0.097014925,0.029850746,31,0.064516129,code
0,1,0.00990099,0.024752475,0,0.003358522,202,0.53960396,text
0,0,0.2,0,0.085714286,0.028571429,5,0,code
0.5,0,0,0,0,0,8,0.75,text
0,0,0.333333333,0,0.1,0,3,0,code
0.333333333,0,0.035714286,0.035714286,0.025316456,0,28,0.607142857,text
0,0,0.333333333,0,0.1,0,3,0,code
0,0,0,0.028571429,0,0,35,0.542857143,text
0,0,0.333333333,0,0.1,0,3,0,code
0.083333333,0,0,0.011363636,0,0.001960784,88,0.556818182,text
1.692307692,1,0.142857143,0.285714286,0.109452736,0.009950249,21,0.047619048,code
0,0,0.016949153,0.016949153,0.010282776,0,59,0.457627119,text
1.307692308,1,0,0.3,0.086956522,0.031055901,20,0.05,code
0,0,0,0.015151515,0,0.002506266,66,0.515151515,text
1.903225806,2,0.06122449,0.306122449,0.087058824,0.021176471,49,0.040816327,code
0,0,0,0.054054054,0,0.00896861,37,0.567567568,text
1.5,0,0,0.388888889,0.097902098,0.034965035,18,0,code
0.012195122,0,0.007072136,0.062234795,0.005530176,0.002404424,707,0.512022631,text
1.6,0,0,0.571428571,0.11023622,0.015748031,14,0,code
0,0,0.00617284,0.111111111,0.006585136,0.00752587,162,0.413580247,text
1.846153846,0,0,0.611111111,0.111764706,0.017647059,18,0,code
0,0,0,0.076923077,0,0.005291005,26,0.384615385,text
1.454545455,0,0,0.444444444,0.087837838,0.033783784,18,0,code
0,0,0.004255319,0.034042553,0,7.00E-04,235,0.519148936,text
3.936170213,0,0.194690265,0.265486726,0.090405904,0.017527675,113,0.026548673,code
0,0,0.066914498,0.048327138,0.01015873,6.35E-04,269,0.412639405,text
2.966101695,0,0.323353293,0.269461078,0.088036117,0.021068473,167,0.011976048,code
0,0,0.039697543,0.032136106,0.004668534,0.002178649,529,0.491493384,text
0,0,0,0.333333333,0.225,0,6,0,code
0.0625,0,0,0.0125,0.004246285,0.002123142,80,0.5375,text
0,0,0,0.555555556,0.14516129,0.048387097,9,0,code
0,0,0.012765957,0.034042553,0.006451613,7.17E-04,235,0.514893617,text
0,0,0.142857143,0,0.217391304,0.072463768,7,0,code
0,0,0,0.064935065,0,0,77,0.506493506,text
0.333333333,0,0,0.384615385,0.150537634,0.064516129,13,0,code
0.375,0,0.010526316,0.063157895,0,0.005328597,95,0.494736842,text
0.333333333,0,0,0.333333333,0.126213592,0.058252427,15,0,code
0.125,0,0.032258065,0.064516129,0,0.007936508,62,0.467741935,text
0,0,0,0.583333333,0.176470588,0.035294118,12,0,code
0,0,0,0,0,0.006849315,24,0.5,text
0,0,0.636363636,0.181818182,0.117647059,0.023529412,11,0,code
0,0,0.035714286,0.053571429,9.67E-04,0,168,0.43452381,text
3.2,5,0.134146341,0.231707317,0.075,0.027777778,82,0.134146341,code
0.003021148,0,0.055172414,0.034482759,0.045787546,0.001831502,290,0.486206897,text
3.125,0,0.071428571,0.392857143,0.135658915,0.034883721,28,0,code
0,0,0,0.016949153,0,0,59,0.559322034,text
4.476190476,0,0.060606061,0.393939394,0.12849162,0.027932961,33,0,code
0,0,0.022222222,0.037037037,0,0.00109529,135,0.437037037,text
3.777777778,0,0.2,0.371428571,0.142424242,0.039393939,35,0,code
0,0,0,0.049723757,0.00179051,8.95E-04,181,0.447513812,text
4.333333333,0,0.069767442,0.23255814,0.109414758,0.03307888,43,0,code
0,0,0,0.027777778,0,0.002169197,72,0.458333333,text
2.238095238,1,0.15,0.15,0.077922078,0.038961039,40,0.225,code
0,0,0,0.2,0,0.023255814,5,0.2,text
0,0,0,0,0,0.133333333,4,0.5,text
0,0,0,0.023809524,0,0.004545455,42,0.619047619,text
2.304347826,1,0.136363636,0.159090909,0.076696165,0.038348083,44,0.204545455,code
0,0,0,0.142857143,0,0.020833333,7,0.285714286,text
0,0,0,0,0,0.133333333,4,0.5,text
0.052631579,0,0,0.015748031,0.00280112,0.00140056,127,0.606299213,text
3.282608696,4,0.099099099,0.189189189,0.102564103,0.039529915,111,0.054054054,code
0,0,0,0.151515152,0,0.004807692,33,0.393939394,text
2.545454545,2,0.111111111,0.185185185,0.072727273,0,27,0.148148148,code
0.05,0,0.017595308,0.064516129,0.001903855,0.001903855,341,0.480938416,text
3.733333333,2,0.142857143,0.2,0.066869301,0.003039514,35,0.2,code
0,0,0.019736842,0.072368421,0.002227171,0.001113586,152,0.526315789,text
0,0,0,0.333333333,0.125,0,3,0,code
0.076923077,0,0,0.066666667,0,0,75,0.56,text
0,0,0.2,0,0.088235294,0.058823529,5,0,code
0.032258065,0,0,0.03125,0.001371742,0.002057613,256,0.515625,text
0,0,0.333333333,0,0.1,0,3,0,code
0.1,0,0,0.027027027,0,0,37,0.540540541,text
4.260869565,0,0.134615385,0.230769231,0.072727273,0.01010101,52,0.192307692,code
0,0,0,0,0,0,21,0.428571429,text
0,0,0,0.333333333,0.058823529,0.058823529,3,0,code
0.5,0,0,0.1,0,0,10,0.5,text
0,0,0.333333333,0,0,0.111111111,3,0,text
0.1,0,0,0.015384615,0.005681818,0,65,0.6,text
0,0,0,0,0.125,0,3,0.333333333,code
0.058823529,0,0,0.070422535,0,0.001191895,142,0.492957746,text
0,0,0,0,0.125,0,3,0.333333333,code
0.25,0,0,0,0,0,27,0.481481481,text
0,0,0,0,0.125,0,3,0.333333333,code
0.076923077,0,0.01369863,0.01369863,0.004761905,0.002380952,73,0.520547945,text
4.2,1,0.233333333,0.266666667,0.074534161,0.00931677,30,0.133333333,code
0,0,0.010638298,0.085106383,0,0.001798561,94,0.457446809,text
3.025641026,9,0.222222222,0.151515152,0.046315789,0.017894737,99,0.151515152,code
0.1,0,0.038461538,0,0,0.005882353,26,0.5,text
0,0,0.5,0.166666667,0.05,0.016666667,6,0,code
0.333333333,0,0.153846154,0.038461538,0,0,26,0.5,text
0,0,0.8,0.2,0.063829787,0.021276596,5,0,code
0.5,0,0.181818182,0,0,0,11,0.454545455,text
0,0,0.333333333,0,0.1,0,3,0,code
1,0,0,0,0,0,1,0,text
0,0,1,0,0.111111111,0,2,0,code
0.5,0,0,0,0,0,0,0,text
0,0,0,0,0,0,2,0,text
0.214285714,0,0.047058824,0.035294118,0,0,85,0.517647059,text
3.045454545,10,0.182608696,0.191304348,0.066140178,0.014807502,115,0.113043478,code
0,0,0.018571429,0.028571429,0.001362398,6.81E-04,700,0.492857143,text
2.4,0,0.227272727,0.318181818,0.051401869,0.004672897,22,0,code
0.111111111,0,0.106796117,0.058252427,0,0.001589825,103,0.466019417,text
0,0,0.291666667,0.083333333,0,0.096446701,24,0.083333333,text
0,0,0.181818182,0.03030303,0,0.004694836,33,0.515151515,text
0,0,0.166666667,0.166666667,0,0.057142857,6,0.333333333,text
0,0,0.076923077,0.054945055,0,0.003703704,91,0.483516484,text
0,0,0.375,0.25,0.035087719,0,8,0,code
0,0,0.054347826,0.086956522,0,0.003636364,92,0.467391304,text
0,0,0.4,0.6,0,0,5,0,code
0.009433962,0,0.105952381,0.05952381,0.001407601,0.004021717,840,0.469047619,text
2.1875,0,0.344827586,0.310344828,0.058823529,0.003095975,29,0,code
0,0,0.15,0.05,0,0.008474576,20,0.45,text
0,0,0.266666667,0.066666667,0,0.092827004,30,0.133333333,text
0,0,0.057522124,0.030973451,0,0.00304414,226,0.557522124,text
2.608108108,0,0.221052632,0.289473684,0.072094469,6.22E-04,190,0,code
0,0,0.060773481,0.060773481,0.001974334,0.011846002,181,0.552486188,text
0,0,0.333333333,0.333333333,0,0.058823529,3,0,code
0,0,0.012048193,0.084337349,0,0.002212389,83,0.626506024,text
0,0,0.333333333,0,0.1,0,3,0,code
0.1,0,0.028169014,0.070422535,0,0,71,0.591549296,text
0,0,0.333333333,0,0,0,3,0,text
0,0,0,0.12244898,0,0,49,0.469387755,text
0.5,0,0.333333333,0.166666667,0.076923077,0.019230769,6,0,code
0.142857143,0,0.052631579,0,0,0.009708738,19,0.526315789,text
1.333333333,0,0.285714286,0.142857143,0.063829787,0,7,0.285714286,code
0,0,0.090909091,0.181818182,0.015267176,0,22,0.409090909,text
1.333333333,0,0.5,0,0.142857143,0,2,0,code
0,0,0.105263158,0,0,0,19,0.631578947,text
2.602564103,0,0.32967033,0.307692308,0.075367647,0.00122549,182,0,code
0.076923077,0,0.081871345,0.058479532,0.004127967,0,171,0.538011696,text
2.666666667,0,0.375,0.25,0.106060606,0,8,0,code
0.666666667,0,0.041666667,0.041666667,0.009615385,0,72,0.555555556,text
2.666666667,0,0.222222222,0.222222222,0.093333333,0,9,0,code
0.529411765,0,0.028037383,0.065420561,0.00624025,0,107,0.448598131,text
2.666666667,0,0.285714286,0.285714286,0.111111111,0,7,0,code
0.7,0,0.076923077,0.019230769,0.012461059,0,52,0.519230769,text
2.666666667,0,0.285714286,0.285714286,0.107692308,0,7,0,code
0.25,0,0.04109589,0.123287671,0.013888889,0,73,0.506849315,text
2.666666667,0,0.285714286,0.285714286,0.101449275,0,7,0,code
1.444444444,0,0.041666667,0,0.011049724,0,24,0.458333333,text
2.666666667,0,0.222222222,0.222222222,0.090909091,0,9,0,code
0.235294118,0,0.050420168,0.050420168,0.005763689,0,119,0.495798319,text
3,0,0.222222222,0.277777778,0.072992701,0.02919708,18,0.055555556,code
0.444444444,0,0.113636364,0.022727273,0.013937282,0,44,0.5,text
3,0,0.222222222,0.277777778,0.070921986,0.028368794,18,0.055555556,code
0.8,0,0.09375,0.03125,0.018099548,0,32,0.40625,text
4,0,0.222222222,0.277777778,0.068965517,0.027586207,18,0.055555556,code
1.25,0,0.09375,0,0,0,32,0.4375,text
3,0,0.222222222,0.277777778,0.070921986,0.028368794,18,0.055555556,code
0.727272727,0,0.122807018,0.035087719,0,0,57,0.543859649,text
3,0,0.222222222,0.277777778,0.063380282,0.028169014,18,0.055555556,code
0.375,0,0.178571429,0,0,0,28,0.5,text
2.75,0,0.222222222,0.277777778,0.071428571,0.028571429,18,0.055555556,code
1,0,1,0,0,0,1,0,text
2.666666667,0,0.571428571,0.285714286,0.098591549,0,7,0,code
1.777777778,0,0.666666667,0.222222222,0.064814815,0,9,0,text
2.666666667,0,0.571428571,0.285714286,0.095890411,0,7,0,code
0.666666667,0,0.090909091,0.068181818,0,0,44,0.454545455,text
3,0,0.176470588,0.294117647,0.07751938,0.015503876,17,0.117647059,code
0.04,0,0.076190476,0.00952381,0,0.004746835,105,0.514285714,text
1.44,1,0.153846154,0.256410256,0.06779661,0.014124294,39,0.025641026,code
0.032258065,0,0.030837004,0.039647577,0.005166052,0.001476015,227,0.50660793,text
0,0,0.25,0,0.09375,0,4,0,code
0.5,0,0,0,0,0,1,1,text
0,0,0.25,0,0.083333333,0,4,0,code
0,0,0,0,0,0,0,0,code
1.44,1,0.153846154,0.256410256,0.067039106,0.01396648,39,0.025641026,code
0,0,0.048387097,0.112903226,0,0,62,0.467741935,text
0,0,0.25,0,0.057142857,0,4,0,code
0,0,0.056074766,0.028037383,0.010416667,0.001488095,107,0.495327103,text
1.783783784,1,0.484375,0.234375,0.057636888,0.018731988,64,0.015625,code
0,0,0.034722222,0.0625,0.00462963,0.002314815,144,0.5625,text
1.612903226,1,0.533333333,0.166666667,0.056060606,0.01969697,60,0.016666667,code
0,0,0.02,0.06,0.003372681,0.001686341,100,0.5,text
1,0,0.214285714,0.428571429,0.096296296,0.014814815,14,0,code
0,0,0,0.095238095,0.006920415,0,105,0.495238095,text
1.756097561,1,0.448717949,0.205128205,0.062126643,0.011947431,78,0.012820513,code
0,0,0.02739726,0.123287671,0.004705882,0,73,0.465753425,text
1.795454545,2,0.425287356,0.183908046,0.063596491,0.010964912,87,0.011494253,code
0,0,0.051724138,0.043103448,0.008275862,0.002758621,116,0.422413793,text
1.888888889,2,0.421052632,0.178947368,0.067127345,0.010858835,95,0.010526316,code
0,0,0,0,0.007142857,0.003571429,44,0.522727273,text
2.32,1,0.40776699,0.194174757,0.06690455,0.01338091,103,0.009708738,code
0,0,0.088235294,0.088235294,0,0,34,0.5,text
2.481481481,1,0.403508772,0.184210526,0.070331447,0.014551334,114,0.00877193,code
0,0,0.086956522,0.065217391,0.007042254,0.002347418,138,0.442028986,text
1.285714286,0,0.361111111,0.277777778,0.059659091,0.011363636,36,0,code
0,0,0.025974026,0.006493506,0.004305705,0.003229279,154,0.512987013,text
2.615384615,1,0.31147541,0.229508197,0.088744589,0.032467532,61,0.049180328,code
0,0,0.071428571,0.142857143,0,0,14,0.5,text
4.666666667,0,0.238095238,0.19047619,0.179487179,0.05982906,21,0,code
0.093023256,0,0.034055728,0.018575851,0.002233389,0.001116695,323,0.551083591,text
3.096774194,5,0.4375,0.159722222,0.057647963,0.023827825,144,0.097222222,code
0.285714286,0,0.111111111,0.066666667,0,0.001915709,90,0.5,text
3.540229885,5,0.494845361,0.180412371,0.06741573,0.021961185,194,0.072164948,code
0.086956522,0,0,0.02238806,0.001241465,0.00248293,268,0.514925373,text
2.7,3,0.358744395,0.233183857,0.076102763,0.019389239,223,0.053811659,code
0,0,0.017391304,0.026086957,0,0.00148368,115,0.556521739,text
3.063157895,3,0.434146341,0.204878049,0.125110132,0.022907489,205,0.043902439,code
0,0,0.014492754,0.02173913,0.002325581,0.003488372,138,0.471014493,text
2.947368421,2,0.31292517,0.238095238,0.078009828,0.011056511,147,0.006802721,code
